!!Tags				
Tag	Implies	Max Per Row	Self Synergy	Notes
TranslatePrimary		2	0	
TranslateSecondary		2	0	
PlanetHopping		3	1	
TextHunt	PlanetHopping & (TranslatePrimary | TranslateSecondary)	1	10	
Misc		3	0	
ShitCreek		3	0	
Shipless	ShitCreek	3	1	
Sun		2	1.5	
SS	Sun	3	3.25	
AT		3	2	
ET		3	2	
TH		1	1.5	
AR		2	1.75	
BH		3	1.75	
HL		2	3	
GD		3	2	
OPC		3	2	
DB		3	2	
WHS		3	2	
TI		3	2	
QM		3	3	
Early		2	-1	
EarlyExclusive	Early	1	-10	
Mid		2	-2.5	
End		1	-3	End means it ends the run. Does not necessarily mean late
Late	End	1	-5	
Jelly		2	2.5	
Tornado		2	2.5	
HangingCity	BH	2	3	
SouthernObs	BH	2	3.5	
SunlessCity	(Early | Mid) & ET	2	2.5	
HighNrg	EarlyExclusive & SunlessCity	1	3.25	
ATP	AT & (Mid | Late)	2	3.75	
Vessel	DB	2	4.5	
Eye	End & ATP & Vessel	1	20	
QShard	PlanetHopping	2	0	
QShardHunt	QShard & PlanetHopping	1	10	
ElectricCore	GD & Jelly & Tornado	2	3	
JetFuel		2	2	
UnlitFire		1	2	I'm unsure how the implies should work around fires, travelers, jet fuel, etc. I'm just going to lean on synergies to hopefully handle this
LitFire		2	2	
Traveler		2	2	
Warp		3	2	
GravCannon		2	1.5	
NomaiShip	GravCannon	2	1.5	
BlackHoleExclusive	BH	1	10	
				
!!Synergies				
Tag0	Tag1	Synergy	Comment	
TextHunt	TranslatePrimary	2		
TextHunt	TranslateSecondary	2		
SS	Sun	2		
AT	ATP	2.5		
AT	Sun	1.5		
AT	ET	1.5		
ET	Sun	1.5		
ET	SunlessCity; HighNrg	1.5		
TH	AR	0	You always start on TH anyways, so doing TH + AR isn't really an advantage to just doing AR. No need to penalize you with a synergy.	
BH	HL	1		
BH	SouthernObs; HangingCity	2		
GD	Tornado	2		
GD	Jelly	1.5		
GD	OPC	1.5		
GD	ElectricCore	1.5		
WHS	BH	1		
Eye	ATP;DB;Vessel	3		
PlanetHopping	QShardHunt;TextHunt	1.5		
Traveler	JetFuel;LitFire;UnlitFire	1.5		
JetFuel	LitFire;UnlitFire	1.5		
LitFire	UnlitFire	1.5		
Warp	PlanetHopping	2.5		
Warp	NomaiShip	1		
Warp	BH	1		
Warp	Eye	2	They Vessel warps once and then you take a warp out onto the Eye	
ElectricCore	Jelly;Tornado	1.5		
Jelly	Tornado	1.5		
GravCannon	ET;BH;OPC	1		
GravCannon	GD	0.5		
				
!!Shorthands				
Short	Long			
SS	Sun Station			
AT	Ash Twin			
ET	Ember Twin			
TH	Timber Hearth			
AR	Attlerock			
BH	Brittle Hollow			
HL	Hollow's Lantern			
GD	Giant's Deep			
OPC	Orbital Probe Cannon			
DB	Dark Bramble			
WHS	White Hole Station			
TI	The Interloper			
QM	Quantum Moon			
ToQT	Tower of Quantum Trials			
ToQK	Tower of Quantum Knowledge			
				
!!Goals				
Text	Clarification	Tags	Difficulty	Length
Translate any text on [SS]		SS & TranslatePrimary	5	5
Translate any text on [AT]		AT & TranslatePrimary	1.5	4
Translate any text on [ET]		ET & TranslatePrimary	1.5	2.5
Translate any text on [TH]		TH & TranslatePrimary	1	2
Translate any text on [AR]		AR & TranslatePrimary	1.5	2
Translate any text on [BH]	Text that has fallen through the black hole is no longer considered "on [BH]"	BH & TranslatePrimary	1.5	2
Translate any text on [HL]		HL & TranslatePrimary & Mid	4	4.5
Translate any text on [GD]		GD & TranslatePrimary	2	3
Translate any text on [OPC]		OPC & TranslatePrimary	3	3
Translate any text on [DB]		DB & TranslatePrimary	3	3.5
Translate any text on [WHS]		WHS & TranslatePrimary	3	3.5
Translate any text on [TI]		TI & TranslatePrimary	5	5
Translate any text on [QM]		QM & TranslatePrimary	4	4
Translate text on 3 different planet(s)	Excludes moons and artificial structures in space. Includes The Eye.	TextHunt	4	4
Translate text on 4 different planet(s)	Excludes moons and artificial structures in space. Includes The Eye.	TextHunt	5.5	5.5
Translate text on 5 different planet(s)	Excludes moons and artificial structures in space. Includes The Eye.	TextHunt	7	7
Translate text on 3 different celestial bodie(s)	Excludes artificial structures in space. Includes The Eye.	TextHunt	3	3
Translate text on 4 different celestial bodie(s)	Excludes artificial structures in space. Includes The Eye.	TextHunt	4.3	4.3
Translate text on 5 different celestial bodie(s)	Excludes artificial structures in space. Includes The Eye.	TextHunt	5.6	5.6
Translate text on 6 different celestial bodie(s)	Excludes artificial structures in space. Includes The Eye.	TextHunt	7	7
Translate text on 3 different primary location(s)	Any location on the computer log's map or The Eye.	TextHunt	2	3
Translate text on 4 different primary location(s)	Any location on the computer log's map or The Eye.	TextHunt	4.3	4.3
Translate text on 5 different primary location(s)	Any location on the computer log's map or The Eye.	TextHunt	5.6	5.6
Translate text on 6 different primary location(s)	Any location on the computer log's map or The Eye.	TextHunt	7	7
Press the eject button		Misc & (ShitCreek | Shipless)	3	1.5
Touch the "Sky Shutter" satellite orbiting [TH]		TH & Early	3	1.5
Go through the black hole in [BH]		BlackHoleExclusive	2	2.5
Go through the black hole in [BH] without your ship		Shipless & BlackHoleExclusive	2.5	3.5
Talk to Solanum		QM	6	6.5
Get inside the electric core of [GD]		ElectricCore	4	4.5
Ride one CW tornado and one CCW tornado		(GD | SouthernObs) & Tornado	2.5	3
Activate emergency scout recall		Sun | HL	2	2
Enter the black hole formed inside the ATP		ATP & Late	4	7
Translate any text inside [ToQK]	Text at the base of the tower does not count	Late & (BH | WHS)	4	6
Touch the Hearthian flag on [AR]		AR	2	2
Complete all trials in [ToQT] ([GD])		GD & QShard	5	5
Translate any text in the Southern Observatory		BH & TranslateSecondary	5	5
Translate any text in the Hanging City		BH & TranslateSecondary	3	3.5
Activate 1 gravity cannon(s)	[OPC] counts, but only as 1	PlanetHopping & ((BH) | (ET) | (OPC))	2	2
Activate 2 gravity cannon(s)	[OPC] counts, but only as 1	PlanetHopping & ((BH & ET) | (BH & OPC) | (ET & OPC))	3.5	4
Activate 3 gravity cannon(s)	[OPC] counts, but only as 1	PlanetHopping & ((BH & ET & OPC))	5	6
Translate any text in the Sunless City		SunlessCity	3	3.5
Translate any text in the High Energy Lab		HighNrg	4	4
Supernova ending		Late	3	5
Touch the orbital probe	Launched by [OPC]	Early	4.5	3.5
Ride an underwater current on Timber Hearth		TH	2	2.5
Fly close enough to the sun to get scorch effects (but don't die to it)		Sun & Misc	1.5	1.5
Travel between two celestial bodies without using ships or teleporters. [ET] <-> [AT] does not count.		ShitCreek	6	6
Take 2 different warp(s)	*Any* warp from a black hole to white hole counts. Warping back on a charged pad doesn't.	PlanetHopping & AT & Warp	2	2
Take 3 different warp(s)	*Any* warp from a black hole to white hole counts. Warping back on a charged pad doesn't.	PlanetHopping & AT & Warp	3	3
Take 4 different warp(s)	*Any* warp from a black hole to white hole counts. Warping back on a charged pad doesn't.	PlanetHopping & AT & Warp	4	4
Take 5 different warp(s)	*Any* warp from a black hole to white hole counts. Warping back on a charged pad doesn't.	PlanetHopping & AT & Warp	5.5	5.5
Take 6 different warp(s)	*Any* warp from a black hole to white hole counts. Warping back on a charged pad doesn't.	PlanetHopping & AT & Warp	6.5	6.5
Translate any text in 1 different [OPC] module(s)		 OPC 	2	2
Translate any text in 2 different [OPC] module(s)		 OPC 	3	3.5
